作者	Advice	Incomplete	Error	Crash	Doc	测试时间	分数	评测人
604	1	0	0	0	0	1457669417	-1.00000	656
385	0	2	1	0	0	1457669417	-4.00000	604
564	0	0	1	0	0	1457669417	-2.00000	22
463	0	0	0	0	0	1457669416	0.00000	570
407	0	0	0	0	0	1457669416	0.00000	442
552	0	1	3	0	0	1457669416	-7.00000	606
515	0	0	2	0	0	1457669417	-4.00000	547
427	1	0	0	0	0	1457669417	0.00000	498
562	0	3	3	0	0	1457669417	-9.00000	531
555	0	0	0	0	0	1457669417	None	466
523	0	0	0	0	0	1457669417	0.00000	569
535	2	0	0	0	0	1457669417	-2.00000	533
577	0	0	0	0	0	1457669417	None	467
580	0	0	0	0	0	1457669417	0.00000	578
22	1	0	1	0	0	1457669417	-3.00000	516
480	1	0	0	0	0	1457669416	0.00000	508
511	0	0	1	0	0	1457669417	-2.00000	390
550	1	0	0	0	0	1457669417	0.00000	572
529	0	0	0	0	0	1457669417	0.00000	584
398	0	0	0	0	0	1457669417	None	432
518	0	0	0	0	0	1457669417	None	460
603	1	0	0	0	0	1457669417	-1.00000	496
570	1	0	0	0	0	1457669417	-1.00000	515
430	0	0	0	0	0	1457669417	None	465
399	1	0	0	0	0	1457669417	0.00000	393
404	0	0	0	0	0	1457669417	None	437
444	1	0	0	0	0	1457669417	0.00000	553
381	0	1	0	0	0	1457669417	-1.00000	484
557	0	0	0	0	0	1457669417	None	541
435	0	0	2	0	0	1457669417	-4.00000	512
424	1	0	0	0	0	1457669417	-1.00000	509
409	1	0	0	0	0	1457669416	0.00000	429
415	1	0	0	0	0	1457669417	0.00000	562
567	0	0	1	0	0	1457669417	-2.00000	582
542	0	0	0	0	0	1457669417	None	464
566	2	0	1	0	0	1457669417	-2.00000	449
453	0	0	1	1	0	1457669416	-6.00000	404
572	1	1	3	0	0	1457669417	-8.00000	423
568	0	1	2	0	0	1457669416	-5.00000	459
527	0	0	0	0	0	1457669417	None	417
481	0	0	0	2	0	1457669417	-8.00000	592
530	0	0	0	0	0	1457669417	None	557
539	0	0	0	0	0	1457669417	None	494
16	1	0	1	0	0	1457669417	-3.00000	560
569	0	0	2	0	0	1457669417	-4.00000	532
392	0	0	3	0	0	1457669416	-6.00000	472
524	0	0	1	0	0	1457669417	-2.00000	528
509	0	0	0	0	0	1457669417	None	493
475	0	0	1	2	0	1457669416	-10.00000	438
416	2	0	0	4	0	1457669416	-16.00000	527
558	0	1	3	1	0	1457669417	-11.00000	462
408	0	1	0	0	0	1457669417	-1.00000	549
464	0	1	3	2	0	1457669417	-15.00000	427
579	0	1	0	0	0	1457669417	-1.00000	384
426	1	0	1	1	0	1457669417	-6.00000	503
436	1	0	0	0	0	1457669416	0.00000	426
386	0	0	5	0	0	1457669417	-10.00000	561
536	0	0	1	0	0	1457669417	-2.00000	506
533	0	0	2	0	0	1457669417	-4.00000	581
544	1	0	0	0	0	1457669417	0.00000	519
563	0	0	3	1	0	1457669416	-10.00000	599
549	1	0	0	0	0	1457669417	-1.00000	448
591	0	0	0	0	0	1457669417	None	568
695	1	0	0	0	0	1457669417	0.00000	422
428	1	0	0	0	0	1457669416	0.00000	535
441	2	0	1	0	0	1457669417	-4.00000	425
443	1	0	0	0	0	1457669417	0.00000	513
471	1	0	0	0	0	1457669417	0.00000	495
502	0	1	1	0	0	1457669416	-3.00000	441
433	0	0	2	0	0	1457669417	-4.00000	469
560	0	1	0	0	0	1457669417	-1.00000	554
470	2	0	1	0	0	1457669416	-2.00000	566
546	0	1	0	0	0	1457669417	-1.00000	447
445	1	0	1	0	0	1457669417	-3.00000	688
508	0	0	0	0	0	1457669416	None	558
498	0	0	0	0	0	1457669417	0.00000	412
504	2	0	1	0	0	1457669417	-2.00000	586
452	0	0	0	1	0	1457669417	-4.00000	502
522	0	2	0	0	0	1457669417	-2.00000	430
581	0	0	0	0	0	1457669416	None	517
514	0	1	1	0	0	1457669416	-3.00000	518
528	0	0	0	0	0	1457669417	None	591
437	0	1	5	4	0	1457669417	-27.00000	571
521	0	0	1	0	0	1457669417	-2.00000	601
406	2	0	3	2	0	1457669417	-16.00000	482
486	0	0	1	0	0	1457669416	-2.00000	563
394	0	0	1	0	0	1457669417	-2.00000	389
540	0	0	2	0	0	1457669417	-4.00000	695
503	1	0	0	0	0	1457669417	0.00000	486
473	0	0	0	0	0	1457669417	None	555
