作者	Advice	Incomplete	Error	Crash	Doc	测试时间	分数	评测人
386	1	0	0	0	0	1461503601	0.00000	579
661	0	0	2	2	0	1461503602	-12.00000	688
258	0	0	8	0	1	1461503602	-16.00000	590
599	2	0	1	0	0	1461503602	-2.00000	553
518	2	0	0	0	0	1461503602	0.00000	502
491	0	0	0	0	0	1461503602	0.00000	528
708	1	0	6	0	0	1461503602	-12.00000	428
697	0	0	0	0	0	1461503601	None	543
379	1	0	0	0	0	1461503601	0.00000	520
520	1	1	0	0	0	1461503602	-1.00000	604
496	2	2	0	0	1	1461503602	-2.00000	398
401	1	2	0	0	1	1461503602	-2.00000	533
392	2	0	3	1	0	1461503602	-10.00000	491
494	1	2	4	0	1	1461503602	-10.00000	409
584	0	0	0	0	0	1461503601	0.00000	551
583	1	0	0	0	0	1461503601	0.00000	408
532	2	1	1	0	1	1461503601	-3.00000	258
459	1	0	0	0	0	1461503601	0.00000	516
582	1	0	2	0	1	1461503602	-4.00000	424
447	1	0	0	0	1	1461503601	0.00000	593
492	0	0	2	0	1	1461503601	-4.00000	387
695	3	2	0	1	1	1461503602	-6.00000	556
498	1	0	0	0	0	1461503601	0.00000	563
457	1	0	0	0	0	1461503601	0.00000	22
390	1	0	0	0	0	1461503602	0.00000	587
483	1	0	2	0	0	1461503601	-4.00000	404
595	0	0	0	0	1	1461503602	0.00000	542
530	1	0	0	2	0	1461503602	-8.00000	588
467	0	0	0	0	0	1461503602	0.00000	560
448	1	0	2	0	0	1461503601	-4.00000	434
588	0	0	0	0	0	1461503601	None	534
497	1	0	1	3	0	1461503602	-14.00000	581
688	1	0	0	0	0	1461503602	0.00000	429
519	1	0	2	1	0	1461503601	-8.00000	561
538	1	0	0	0	0	1461503602	0.00000	565
414	0	0	1	1	1	1461503602	-6.00000	478
602	3	0	0	0	0	1461503602	0.00000	501
458	1	0	3	1	0	1461503602	-10.00000	483
482	0	0	0	0	0	1461503601	None	389
479	2	0	2	0	0	1461503601	-4.00000	595
578	0	0	0	0	0	1461503602	None	417
547	1	0	0	0	0	1461503601	0.00000	481
380	0	0	2	0	0	1461503601	-4.00000	465
434	1	1	0	0	0	1461503602	-1.00000	526
806	1	0	0	0	0	1461503602	0.00000	492
501	0	0	0	0	0	1461503601	0.00000	599
489	1	0	3	0	0	1461503601	-6.00000	569
421	2	0	3	0	0	1461503601	-6.00000	515
18	0	0	0	4	1	1461503602	-16.00000	436
451	1	0	0	1	0	1461503601	-4.00000	695
526	0	2	0	0	1	1461503602	-2.00000	607
391	1	0	1	1	1	1461503602	-6.00000	447
510	0	0	0	0	0	1461503601	None	467
480	0	0	0	0	0	1461503602	None	450
555	0	1	0	0	0	1461503602	-1.00000	498
450	0	0	0	0	1	1461503601	0.00000	570
524	0	1	2	1	0	1461503601	-9.00000	601
539	0	0	0	0	0	1461503601	None	18
472	1	1	1	1	0	1461503601	-7.00000	383
474	2	1	0	0	0	1461503602	-1.00000	538
412	0	0	0	0	0	1461503602	None	549
456	1	0	2	0	0	1461503602	-4.00000	602
398	4	1	0	0	0	1461503601	-1.00000	597
432	2	0	0	0	0	1461503601	0.00000	555
517	1	0	1	2	0	1461503601	-10.00000	381
508	1	0	0	0	0	1461503601	0.00000	536
536	0	0	5	3	0	1461503602	-22.00000	499
462	1	1	1	0	0	1461503601	-3.00000	438
576	1	0	0	0	0	1461503601	0.00000	414
531	1	0	2	1	0	1461503601	-8.00000	494
476	1	0	1	1	0	1461503601	-6.00000	703
603	1	0	0	0	0	1461503602	0.00000	493
564	1	0	0	0	0	1461503601	0.00000	592
550	0	1	0	0	1	1461503602	-1.00000	419
481	0	0	0	10	0	1461503602	-40.00000	518
607	1	0	2	0	1	1461503602	-4.00000	476
592	1	0	2	1	0	1461503602	-8.00000	482
473	0	0	0	0	0	1461503601	None	541
441	0	0	1	1	0	1461503602	-6.00000	509
573	0	0	0	0	0	1461503601	None	530
574	0	0	0	0	0	1461503601	None	16
400	0	0	0	0	0	1461503601	None	558
558	1	5	0	12	0	1461503602	-53.00000	529
468	1	0	1	0	0	1461503602	-2.00000	572
656	2	0	5	2	0	1461503601	-18.00000	413
399	0	0	1	1	1	1461503602	-6.00000	442
440	0	1	0	0	1	1461503602	-1.00000	552
515	1	0	0	0	0	1461503602	0.00000	67
404	1	1	0	0	0	1461503602	-1.00000	435
460	1	0	1	1	0	1461503601	-6.00000	433
424	1	0	1	0	0	1461503602	-2.00000	506
418	0	1	1	2	1	1461503602	-11.00000	400
604	1	0	2	0	0	1461503601	-4.00000	468
499	0	0	0	0	0	1461503601	None	229
549	0	1	3	1	0	1461503601	-11.00000	402
542	1	0	1	0	0	1461503602	-2.00000	504
553	1	0	2	1	0	1461503602	-8.00000	496
429	0	1	0	1	1	1461503601	-5.00000	378
507	0	0	0	0	1	1461503601	0.00000	540
591	1	0	0	0	0	1461503602	0.00000	539
417	1	0	1	0	0	1461503601	-2.00000	806
514	0	0	0	0	0	1461503602	None	567
556	2	0	0	3	0	1461503602	-12.00000	448
378	0	0	0	0	0	1461503602	None	432
585	2	0	0	0	0	1461503601	0.00000	384
455	1	0	0	0	0	1461503602	0.00000	656
703	1	0	0	0	0	1461503602	0.00000	573
586	2	0	3	0	0	1461503601	-6.00000	487
466	2	0	5	2	1	1461503602	-18.00000	576
383	0	2	0	0	0	1461503602	-2.00000	514
425	4	4	7	1	0	1461503602	-22.00000	586
606	0	0	2	0	0	1461503601	-4.00000	554
580	1	0	3	0	0	1461503601	-6.00000	568
