作者	Advice	Incomplete	Error	Crash	Doc	测试时间	分数	评测人
400	0	0	0	0	0	1462460850	0.00000	419
583	0	5	0	0	0	1462460850	-5.00000	445
688	1	4	0	0	0	1462460850	-4.00000	473
483	1	0	0	0	0	1462460850	0.00000	432
412	1	0	0	0	0	1462460850	0.00000	556
501	0	0	0	0	0	1462460850	None	229
526	0	1	1	1	0	1462460850	-7.00000	599
456	0	0	0	0	0	1462460850	0.00000	380
492	2	0	3	0	0	1462460850	-6.00000	602
491	0	0	0	0	0	1462460850	None	535
402	1	0	0	0	0	1462460850	0.00000	540
498	1	1	1	0	0	1462460850	-3.00000	463
496	1	3	0	0	0	1462460850	-3.00000	576
536	0	0	1	8	0	1462460851	-34.00000	447
414	1	0	3	0	0	1462460850	-6.00000	482
532	0	0	1	1	0	1462460850	-6.00000	486
531	1	0	0	0	0	1462460851	0.00000	22
401	0	0	0	1	0	1462460850	-4.00000	527
482	0	0	0	1	0	1462458989	-4.00000	549
588	0	0	0	0	0	1462460850	None	562
458	1	1	0	0	0	1462460851	-1.00000	595
519	0	0	2	0	0	1462460850	-4.00000	507
417	0	1	0	0	0	1462460850	-1.00000	399
421	1	0	0	0	0	1462460851	0.00000	534
530	2	2	6	0	0	1462460851	-14.00000	510
435	1	1	1	0	0	1462460851	-3.00000	521
606	1	3	2	0	0	1462460850	-7.00000	533
428	1	0	0	0	0	1462460851	0.00000	559
529	1	0	0	0	0	1462460850	0.00000	472
599	1	0	0	0	0	1462460850	0.00000	532
431	1	0	0	0	0	1462460850	0.00000	547
429	0	2	0	1	0	1462460850	-6.00000	468
656	0	2	1	0	0	1462460851	-4.00000	412
573	0	1	0	0	0	1462460850	-1.00000	502
580	4	2	1	0	0	1462460851	-4.00000	515
459	0	1	2	0	0	1462460850	-5.00000	525
584	0	0	0	0	0	1462460850	0.00000	464
523	1	0	0	0	0	1462460850	0.00000	442
597	0	0	0	0	0	1462460850	0.00000	67
603	0	0	0	0	0	1462460850	None	529
515	0	0	0	0	0	1462460850	None	560
578	0	0	0	0	0	1462460850	0.00000	503
462	2	4	1	0	0	1462460850	-6.00000	569
22	0	0	1	2	0	1462460850	-10.00000	517
457	0	1	0	0	0	1462460850	-1.00000	418
577	1	0	0	0	0	1462460850	0.00000	475
561	1	2	0	2	0	1462460850	-10.00000	520
574	0	0	2	0	0	1462460850	-4.00000	492
393	0	0	0	0	0	1462460850	None	542
697	1	3	1	0	0	1462460850	-5.00000	421
479	2	0	3	1	0	1462460850	-10.00000	577
602	0	0	0	0	0	1462460850	None	170
547	1	0	1	0	0	1462460850	-2.00000	429
545	0	1	3	1	0	1462460850	-11.00000	415
18	0	0	0	5	0	1462460851	-20.00000	390
607	0	0	1	0	0	1462458989	-2.00000	493
500	1	0	0	0	0	1462460850	0.00000	554
449	0	0	0	0	0	1462460850	None	536
391	1	0	0	0	0	1462460850	0.00000	550
661	0	0	3	0	0	1462460851	-6.00000	548
582	0	1	4	2	0	1462460851	-17.00000	523
534	0	1	5	0	0	1462460850	-11.00000	451
467	1	0	0	0	0	1462460850	0.00000	565
390	0	0	1	0	0	1462460850	-2.00000	466
451	1	2	0	0	0	1462460850	-2.00000	434
420	1	0	0	0	0	1462460850	0.00000	453
465	0	0	1	1	0	1462460850	-6.00000	567
392	1	0	0	0	0	1462460851	0.00000	601
567	0	0	3	0	0	1462460850	-6.00000	428
438	1	0	0	1	0	1462460851	-4.00000	389
466	0	2	4	0	0	1462460851	-10.00000	564
453	1	0	0	0	0	1462460851	0.00000	426
478	1	0	0	0	0	1462460850	0.00000	381
566	1	0	6	2	0	1462460850	-20.00000	439
538	1	0	0	0	0	1462460850	0.00000	200
380	1	0	1	0	0	1462460850	-2.00000	526
468	1	0	2	1	0	1462458989	-8.00000	509
475	0	0	2	4	0	1462460851	-20.00000	703
450	1	0	0	0	0	1462460850	0.00000	494
381	1	0	5	0	0	1462460850	-10.00000	574
454	1	0	2	2	0	1462458989	-12.00000	546
434	1	0	0	0	0	1462460850	0.00000	479
460	1	2	1	0	0	1462460851	-4.00000	487
598	2	14	4	0	0	1462460851	-22.00000	491
517	1	1	11	1	0	1462460850	-27.00000	457
571	0	0	0	0	0	1462460851	None	467
590	1	0	0	0	0	1462460850	0.00000	476
593	1	0	0	0	0	1462460850	0.00000	414
423	0	2	6	0	0	1462460850	-14.00000	579
518	0	0	5	4	0	1462460850	-26.00000	423
379	0	0	0	0	0	1462460850	None	558
481	0	1	1	3	0	1462460851	-15.00000	397
520	1	0	0	0	0	1462460850	0.00000	471
576	1	0	0	0	0	1462460850	0.00000	498
585	1	0	1	0	0	1462460850	-2.00000	395
489	1	3	1	0	0	1462460850	-5.00000	597
495	0	0	1	0	0	1462460850	-2.00000	553
550	0	1	3	0	0	1462460850	-7.00000	460
474	0	2	0	1	0	1462460850	-6.00000	695
389	0	0	1	7	0	1462460850	-30.00000	531
447	0	0	0	0	0	1462460850	None	598
525	0	0	1	0	0	1462460851	-2.00000	570
413	1	0	0	1	0	1462460850	-4.00000	708
568	1	0	0	0	0	1462460850	0.00000	499
506	1	1	1	0	0	1462460851	-3.00000	539
504	1	2	1	0	0	1462460850	-4.00000	398
512	1	0	0	0	0	1462460850	0.00000	603
555	3	17	4	1	0	1462460850	-29.00000	607
488	0	0	0	0	0	1462460850	0.00000	435
587	4	0	0	0	0	1462460850	0.00000	384
510	3	0	0	0	0	1462460850	0.00000	551
595	0	0	2	0	0	1462460850	-4.00000	393
575	1	0	0	0	0	1462460850	0.00000	483
539	0	5	2	2	0	1462460850	-17.00000	580
507	0	0	2	0	0	1462460850	-4.00000	585
563	1	0	4	7	0	1462460851	-36.00000	588
386	0	0	0	0	0	1462460850	None	438
378	0	0	0	0	0	1462460850	None	444
395	1	0	0	0	0	1462460850	0.00000	454
559	2	4	1	6	0	1462460850	-30.00000	425
533	0	0	1	0	0	1462460850	-2.00000	440
542	0	0	1	0	0	1462460850	-2.00000	488
604	1	1	3	0	0	1462460850	-7.00000	431
497	1	0	0	0	0	1462460851	0.00000	538
170	1	0	0	0	0	1462460850	0.00000	518
441	0	0	2	0	0	1462460850	-4.00000	495
553	1	0	7	0	0	1462460850	-14.00000	478
394	0	0	1	5	0	1462460850	-22.00000	519
570	0	1	2	0	0	1462460850	-5.00000	409
471	0	0	1	0	0	1462460850	-2.00000	568
586	1	1	0	0	0	1462460850	-1.00000	456
552	0	0	0	0	0	1462460851	0.00000	465
521	0	2	0	0	0	1462460850	-2.00000	441
480	1	2	2	0	0	1462460850	-6.00000	586
452	1	10	0	4	0	1462460850	-26.00000	496
424	1	0	1	0	0	1462460850	-2.00000	583
509	0	1	1	1	0	1462460850	-7.00000	404
549	0	1	1	3	0	1462460851	-15.00000	408
601	0	1	4	2	0	1462460850	-17.00000	661
398	0	0	2	0	0	1462460850	-4.00000	484
564	0	0	0	0	0	1462460850	0.00000	497
436	1	2	0	0	0	1462460850	-2.00000	656
551	1	0	2	4	0	1462460851	-20.00000	501
430	0	0	0	0	0	1462460850	None	458
514	0	0	3	0	0	1462460850	-6.00000	572
499	1	1	1	0	0	1462460850	-3.00000	407
